RL;Jugador;País;Posc;Equipo;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G-TP;TP;TPint;TA;TR;Gls.;Ast;G+A;G-TP;G+A-TP;Dis;DaP;% de TT;T/90;TalArc/90;G/T;G/TalArc;Dist;FK;TP;TPint;TA;TR;2a amarilla;Fls;FR;PA;Pcz;Int;TklG;Penal ejecutado;Penal concedido;GC;Recup.;Ganados;Perdidos;% de ganados
217;Aridane Hernández;EQG;DF;Osasuna;32;1989;19;19;1576;17.5;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.06;0.00;0.00;;8.0;0;0;0;3;1;0;17;16;0;2;32;16;0;0;0;198;68;26;72.3
218;Héctor Herrera;MEX;CC;Atlético Madrid;30;1990;10;4;401;4.5;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.22;0.00;0.00;;23.9;0;0;0;2;0;0;8;4;0;2;6;6;0;0;0;55;11;11;50.0
219;Sergio Herrera;ESP;PO;Osasuna;27;1993;26;25;2328;25.9;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;2;0;0;1;8;0;0;0;0;0;1;1;181;0;0;
220;Yangel Herrera;VEN;CC;Granada;23;1998;26;20;1880;20.9;3;1;3;0;0;7;0;0.14;0.05;0.19;0.14;0.19;28;7;25.0;1.34;0.34;0.11;0.43;16.9;0;0;0;7;0;0;52;52;5;13;24;33;1;1;0;222;111;100;52.6
221;Pablo Hervías;ESP;DF,DL;Valladolid;28;1993;21;9;1020;11.3;0;4;0;0;0;1;0;0.00;0.35;0.35;0.00;0.35;11;5;45.5;0.97;0.44;0.00;0.00;27.8;6;0;0;1;0;0;8;11;0;58;11;17;0;0;0;104;9;12;42.9
222;Jordan Holsgrove; SCO;CC;Celta Vigo;21;1999;3;0;110;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.82;0.00;0.00;;12.8;0;0;0;0;0;0;2;3;0;2;0;1;0;0;0;4;0;0;
223;Vicente Iborra;ESP;CC;Villarreal;33;1988;13;10;928;10.3;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;3;0;0.0;0.29;0.00;0.00;;17.0;0;0;0;4;0;0;15;9;0;1;5;13;0;0;0;94;20;19;51.3
224;Oussama Idrissi;MAR;DL,CC;Sevilla;25;1996;3;0;27;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1;1;100.0;3.33;3.33;0.00;0.00;10.4;0;0;0;0;0;0;1;0;0;3;1;1;0;0;0;3;0;1;0.0
225;Iglesias;ESP;DF;Getafe;22;1998;4;3;274;3.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;3;1;33.3;0.99;0.33;0.00;0.00;26.2;0;0;0;0;0;0;6;7;0;4;5;4;0;0;0;29;6;7;46.2
226;Borja Iglesias;ESP;DL;Betis;28;1993;20;8;832;9.2;7;0;4;3;3;2;0;0.76;0.00;0.76;0.43;0.43;21;6;28.6;2.27;0.65;0.19;0.67;17.5;0;3;3;2;0;0;17;12;1;3;4;0;3;0;0;36;19;36;34.5
